iteration;temperature;cost;result
31;5491.010000000001;5165.065123704317;["Lille" "Limoges" "Ajaccio" "Strasbourg" "Besançon" "Lyon" "Paris" "Caen" "Rennes" "Bordeaux" "Marseille" "Toulouse" "Lille"]
32;5490.720000000001;5648.422281526614;["Lille" "Limoges" "Ajaccio" "Strasbourg" "Besançon" "Paris" "Lyon" "Caen" "Rennes" "Bordeaux" "Marseille" "Toulouse" "Lille"]
33;5490.430000000001;6692.988952652978;["Lille" "Limoges" "Ajaccio" "Strasbourg" "Marseille" "Paris" "Lyon" "Caen" "Rennes" "Bordeaux" "Besançon" "Toulouse" "Lille"]
34;5490.140000000001;5996.221289975257;["Lille" "Limoges" "Ajaccio" "Marseille" "Strasbourg" "Paris" "Lyon" "Caen" "Rennes" "Bordeaux" "Besançon" "Toulouse" "Lille"]
35;5489.850000000001;6132.939371939277;["Lille" "Limoges" "Ajaccio" "Marseille" "Besançon" "Paris" "Lyon" "Caen" "Rennes" "Bordeaux" "Strasbourg" "Toulouse" "Lille"]
36;5489.560000000001;5934.214762078034;["Lille" "Limoges" "Ajaccio" "Marseille" "Besançon" "Paris" "Lyon" "Caen" "Rennes" "Strasbourg" "Bordeaux" "Toulouse" "Lille"]
37;5489.270000000001;6507.2422735430255;["Lille" "Limoges" "Strasbourg" "Marseille" "Besançon" "Paris" "Lyon" "Caen" "Rennes" "Ajaccio" "Bordeaux" "Toulouse" "Lille"]
38;5488.980000000001;6525.843788984826;["Lille" "Limoges" "Strasbourg" "Marseille" "Besançon" "Paris" "Lyon" "Rennes" "Caen" "Ajaccio" "Bordeaux" "Toulouse" "Lille"]
39;5488.690000000001;6507.2422735430255;["Lille" "Limoges" "Strasbourg" "Marseille" "Besançon" "Paris" "Lyon" "Caen" "Rennes" "Ajaccio" "Bordeaux" "Toulouse" "Lille"]
40;5488.4000000000015;6116.113284926163;["Lille" "Limoges" "Marseille" "Strasbourg" "Besançon" "Paris" "Lyon" "Caen" "Rennes" "Ajaccio" "Bordeaux" "Toulouse" "Lille"]
41;5488.1100000000015;5994.071151054165;["Lille" "Limoges" "Marseille" "Strasbourg" "Besançon" "Toulouse" "Lyon" "Caen" "Rennes" "Ajaccio" "Bordeaux" "Paris" "Lille"]
42;5487.8200000000015;6012.672666495966;["Lille" "Limoges" "Marseille" "Strasbourg" "Besançon" "Toulouse" "Lyon" "Rennes" "Caen" "Ajaccio" "Bordeaux" "Paris" "Lille"]
43;5487.530000000002;5915.746177861957;["Lille" "Toulouse" "Marseille" "Strasbourg" "Besançon" "Limoges" "Lyon" "Rennes" "Caen" "Ajaccio" "Bordeaux" "Paris" "Lille"]
44;5487.240000000002;6579.684842035768;["Lille" "Toulouse" "Strasbourg" "Marseille" "Besançon" "Limoges" "Lyon" "Rennes" "Caen" "Ajaccio" "Bordeaux" "Paris" "Lille"]
45;5486.950000000002;5953.712491652008;["Lille" "Paris" "Strasbourg" "Marseille" "Besançon" "Limoges" "Lyon" "Rennes" "Caen" "Ajaccio" "Bordeaux" "Toulouse" "Lille"]
46;5486.660000000002;6531.225505474093;["Lille" "Paris" "Strasbourg" "Marseille" "Besançon" "Limoges" "Lyon" "Rennes" "Ajaccio" "Caen" "Bordeaux" "Toulouse" "Lille"]
47;5486.370000000002;5852.80742153758;["Lille" "Paris" "Strasbourg" "Caen" "Besançon" "Limoges" "Lyon" "Rennes" "Ajaccio" "Marseille" "Bordeaux" "Toulouse" "Lille"]
